ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"118.174.152.156","elite","AS23969","TH","TOT Public Company Limited","189","TOT Public Company Limited","8080","socks4","5089","1","2023-09-18T13:46:40.989Z","60","2334","3874"
"5.9.251.161","elite","AS24940","DE","Hetzner Online GmbH","23","N/A","1080","socks4","4906","2","2023-09-18T13:46:40.988Z","84","3289","3898"
"189.50.129.43","elite","AS28330","BR","IFTNET Telecomunicacoes Ltda","208","IFTNET Telecomunicacoes Ltda","5678","socks4","3609","1","2023-09-18T13:46:40.990Z","33","1277","3844"
"154.247.56.229","elite","AS36947","DZ","new","64","N/A","3128","socks4","4909","1","2023-09-18T13:46:41.074Z","48","1855","3883"
"3.38.116.23","elite","AS16509","KR","Amazon.com, Inc.","285","AWS EC2 (ap-northeast-2)","1080","socks5","4997","1","2023-09-18T13:46:35.777Z","25","1004","3939"
"186.208.19.61","elite","AS53149","BR","Camaquanet Servico De Comunicacao Multimidia Eirel","290","Camaquanet Servicos De Comunicacao Multimidia Ltda","5678","socks4","4900","1","2023-09-18T13:46:35.691Z","94","3642","3858"
"31.28.8.109","elite","AS29076","RU","Citytelecom LLC","52","FILANCO-SPB-LLC","1080","socks5","5089","1","2023-09-18T13:46:35.693Z","19","764","3986"
"103.121.89.75","elite","AS135967","VN","Cau Giay Branch of Bach Kim Network solutions Join stock company","190","BKNS-CG","39267","socks5","4910","1","2023-09-18T13:46:35.776Z","96","3753","3922"
"176.119.227.65","elite","AS59583","KZ","Network Kazakhstan LLC","98","Kaznetcom","5678","socks4","5007","1","2023-09-18T13:46:35.778Z","72","2878","3980"
"177.12.178.37","elite","AS263033","BR","Linxbr Telecomunicacoes Ltda","296","Linkli Telecomunicacoes Ltda","4153","socks4","4807","1","2023-09-18T13:46:30.493Z","100","3970","3988"
"212.154.251.210","elite","AS50482","KZ","JSC Kazakhtelecom","188","Limited liability company","5678","socks4","2889","1","2023-09-18T13:46:30.492Z","99","3879","3932"
"121.13.252.61","elite","AS4134","CN","Chinanet","216","Chinanet GD","61401","socks4","5307","1","2023-09-18T13:46:25.394Z","77","2907","3780"
"143.198.167.240","elite","AS14061","US","DigitalOcean, LLC","99","DigitalOcean, LLC","80","socks4","4817","1","2023-09-18T13:46:25.486Z","100","3984","4000"
"201.20.88.5","elite","AS28598","BR","MOB SERVICOS DE TELECOMUNICACOES S.A.","1083","MOB SERVICOS DE TELECOMUNICACOES S.A","3128","socks4","5096","1","2023-09-18T13:46:25.392Z","100","3943","3945"
"203.124.53.122","elite","AS7590","PK","COMSATS","188","CIS HQ","5678","socks4","5094","1","2023-09-18T13:46:25.391Z","80","3123","3926"
"190.63.174.18","elite","AS23487","EC","CONECEL","177","CONECEL","5678","socks4","5001","1","2023-09-18T13:46:25.474Z","100","3884","3899"
"177.72.115.25","elite","AS262558","BR","Prompt Brasil Solucoes EM TI Ltda","196","Prompt Brasil Solucoes EM TI Ltda","31164","socks4","4500","1","2023-09-18T13:46:25.391Z","99","3958","3978"
"36.255.104.9","elite","AS136238","MV","SatLink Pvt Ltd","187","N/A","1080","socks4","2107","1","2023-09-18T13:46:25.390Z","100","3958","3967"
"38.127.173.154","elite","AS174","US","Cogent Communications","91","Torlandia Trading SRL","46656","socks4","4893","83","2023-09-18T13:46:25.485Z","100","3893","3900"
